query,site,type,notes,top_3,top_3_score,latency_ms,judgement
ма,Store A,open,Mobile keystroke for butter/oil,Филе грудки индейки HoReCa «FarmLine» 5кг|Йогурт греческий черника «Mediterran» 140г|Мороженое пломбир фисташка «CreamLab» 450г,||,67.75,
йогурт гр,Store A,open,Partial multi-word,Йогурт греческий черника «Mediterran» 140г|Йогурт греческий натуральный «Mykonos» 900г|Йогурт греческий черника «Mediterran» 140г,||,16.35,
bon pa,Store A,open,Foreign brand transliteration,Мармелад жевательный ягодный «Bon Paris» 75г|Шоколад премиальный молочный «Bon Paris» 90г|Мармелад жевательный sour «Bon Paris» 150г,||,13.16,
холс,Store B,open,Brand typed in Cyrillic,Батарейки AA alkaline «VoltEdge» 4шт|Пакеты для мусора 60л «StrongHold» 30шт|Полотенца бумажные эко «MaxiRoll» 2шт,||,13.09,
крем для рук,Store B,open,Full phrase but should tolerate prefixes,Крем для рук антибактериальный «Atelier Skin» 50мл|Крем для рук коллаген «Atelier Skin» 50мл|Крем для рук коллаген «Herbal Line» 100мл,||,20.21,
масло раст 10л,Store C,open,B2B volume intent,Масло подсолнечное premium «Южное» 900мл|Масло сливочное безлактозное «Teos» 1кг|Масло подсолнечное premium «Helio» 10000мл,||,14.94,
кар тофель,Store D,open,Broken spacing,Кабель USB-C PD 100W «ChargeLab» 1шт|Кабель USB-C 1м «VoltEdge» 1шт|Кабель USB-C PD 100W «FlexWire» 1шт,||,16.68,
xfq,Store E,open,Wrong keyboard layout for чай,,,10.77,
adapter usb c,Store E,open,English technical query,Адаптер USB-C 35W «TechNode» 1шт|Адаптер USB-C 65W «ChargeLab» 1шт|Адаптер USB-C gan «VoltEdge» 1шт,||,14.66,
pr,Store F,open,Wine prefix (prosecco/premium),Power Bank slim «HyperCell» 1шт|Power Bank wireless «HyperCell» 1шт|Power Bank 20000mAh «HyperCell» 1шт,||,12.96,
riesling mos,Store F,open,Region-specific wine,Вино игристое riesling mosel «Rieslinghaus» 750мл|Вино игристое riesling mosel «Rieslinghaus» 1500мл|Вино игристое brut «Rieslinghaus» 1500мл,||,12.07,
памперсы 3,Store D,open,Size constraint,Подгузники детские размер 3 «EcoBaby» 60шт|Подгузники детские размер 3 «EcoBaby» 32шт|Пакеты для мусора 60л «StrongHold» 30шт,||,11.91,
масло сл,Store A,open,Two-letter stop,Масло сливочное безлактозное «Teos» 1кг|Масло сливочное премиум «Teos» 200г|Масло сливочное безлактозное «Teos» 1кг,||,17.84,
филе инд,Store A,open,Protein intent,Филе грудки индейки HoReCa «FarmLine» 5кг|Филе грудки индейки охлажденное «ProteinPro» 5кг|Филе грудки индейки HoReCa «FarmLine» 700г,||,11.89,
